media-source,campaign,installs appsflyer,impressions,clicks,source_files
googleadwords_int,SER|RET|Sorry - BR,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Good Luck - EX,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,22190899329,2,0,0,2024-01-01__2025-07-20.csv
Twitter,Fday24 - Bestsellers - Retention,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|All Products - Generics - BACKUP,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Congratulations - EX Corvidae Conversion Goal Test - Congratulations,2,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,q225 - Consideration Test Awareness - Retention,2,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24A - Interests -volume test (B) - Acquisition,2,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Jan25 - Apptest - Acquisition,2,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - last chance - retention,2,0,0,2024-01-01__2025-07-20.csv
impact,RetailMeNot UK Ltd.,2,4,3,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Birthday - EX Birthday Hub page,2,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Lastchance - Acquisition,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Sympathy - BR,2,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Good Luck - MM,2,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_Summer25_Birthdaystatics,2,0,0,2025-07-21__2025-08-19.csv
Facebook Ads,Valentines25 - FS android - Acquisition,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,home-and-pampering,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Catalogue - Acquisition,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|RET|Test- Birthday 23,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DSC|RET|Test- Birthday 23,1,0,0,2024-01-01__2025-07-20.csv
emarsys,20240130_1200_AUTOMATION_G_JAN24_PREPOTENTIALCARDIES_4FOR10,1,1,1,2024-01-01__2025-07-20.csv
Social_Influencers,pr-general-face-swap-2025-01-27,1,0,3,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
yahoo_organic_seo,flower-and-plants,1,0,1,2024-01-01__2025-07-20.csv
yahoo_organic_seo,under-15,1,0,1,2024-01-01__2025-07-20.csv
yahoo_organic_seo,our-tonys-chocolonely-gifts,1,0,1,2024-01-01__2025-07-20.csv
yahoo_organic_seo,alcohol,1,0,1,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines25 - FS android - Retention,1,0,0,2024-01-01__2025-07-20.csv
bloomreach,crm-header-logo,1,0,17,2024-01-01__2025-07-20.csv
emarsys,20240127_1208_AUTOMATION_G_EVERGREENWINBACK_NEW_APR23_RESEND,1,1,1,2024-01-01__2025-07-20.csv
emarsys,20240129_1209_BAU_V_Contingency_50off_Inactive,1,5,1,2024-01-01__2025-07-20.csv
google_organic_seo,anniversary,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,experience-range,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,wedding-and-engagement-gifts,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,christmas,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,mday-gift-experiences,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,christmas gifts-£20-and-under,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,valentines-day,1,0,1,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24A - consolidated test - Acquisition,1,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,Christmas-gifts,1,0,1,2024-01-01__2025-07-20.csv
googleadwords_int,our-tonys-chocolonely-gifts,1,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,Valentines-day-20-and-under,1,0,1,2024-01-01__2025-07-20.csv
Facebook Ads,Summer24 - Gentle Humour - Retention,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Lastchance - retention,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - storytest - Acquisition,1,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,spring-birthday,1,0,1,2024-01-01__2025-07-20.csv
ecosia_organic_seo,our-tonys-chocolonely-gifts,1,0,1,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Father's Day 24|Gifts,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Sorry - MM,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,21408403668,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,RetentionRestructure - Trialist - Retention,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,Shoptimised | Incremental | Performance Max | Valentines | ACQ,1,0,0,2024-01-01__2025-07-20.csv
ecosia_organic_seo,flower-and-plants,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,over-30,1,0,1,2024-01-01__2025-07-20.csv
Facebook Ads,Brand_consideration_2305,1,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,Valentines Day Flowers,1,0,1,2024-01-01__2025-07-20.csv
google_organic_seo,fathers-day-foodie,1,0,1,2024-01-01__2025-07-20.csv
googleadwords_int,22394221193,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Faith - EX,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Valentine's Day 24,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Brand_consideration_23/06,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,fathers-day-foodie,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24A - Interests - costgoal test (B) - Acquisition – Copy,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Brand25 - coles - INFLUENCER,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Gifts - Spring 24,1,68662,396,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Style - Acquisition,1,0,0,2024-01-01__2025-07-20.csv
impact,YieldKit GmbH,1,1,2,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Flowers - Retention,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - what women want - BRAND,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Mother's Day - Gifts,1,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Brand_consideration_0106,1,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,22845856522,1,0,0,2025-07-21__2025-08-19.csv
Facebook Ads,Brand_consideration_29/07,1,0,0,2025-07-21__2025-08-19.csv
googleadwords_int,22807083839,1,0,0,2025-07-21__2025-08-19.csv
website-thortful,None,0,0,5,2024-01-01__2025-07-20.csv
website-thortful,testlukeMDAY,0,0,1,2024-01-01__2025-07-20.csv
website-thortful,web-PDP-download-CTA-fday,0,0,1,2024-01-01__2025-07-20.csv
emarsys,Copy of AUTOMATION_G_PROSPECT_1_2023,0,1,0,2024-01-01__2025-07-20.csv
af_banner,af_banner_campaign,0,0,0,2024-01-01__2025-07-20.csv
my_media_source,None,0,0,6,2024-01-01__2025-07-20.csv
emarsys,20240130_1137_AUTOMATION_G_EVERGREENWINBACK_NEW_APR23,0,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,acquisition_Valentines24_styles,0,1,0,2024-01-01__2025-07-20.csv
Facebook Ads,acquisition_Valentines24_dynamic,0,2,0,2024-01-01__2025-07-20.csv
attentive,fullscreen_homepage_test1,0,0,0,2024-01-01__2025-07-20.csv
meta-test,testing-appsflyer-deeplink,0,0,2,2024-01-01__2025-07-20.csv
emarsys,Copy of Send2_2023 Abandon Basket Test Deeplink,0,1,0,2024-01-01__2025-07-20.csv
emarsys,20240130_1137_AUTOMATION_G_EVERGREENWINBACK_CARDIESTEST_AUG23_EMSMS,0,0,0,2024-01-01__2025-07-20.csv
Social_facebook,retention_mday24,0,0,1,2024-01-01__2025-07-20.csv
emarsys,App Stores Download Button,0,0,0,2025-07-21__2025-08-19.csv
